Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),top_3_strengths,top_3_improve,other_feedback
,,Digital resources could be updated,,,,,,,"I would like to see the jr. high be given more freedom to decide how best their class could ""live their faith."" For example, let their class decide where to donate money instead of St. Jude's and American Heart Association, have them choose Catholic Charities and local Charities instead so that they can see the effect they have directly. Plus, by making the choices themselves you may see more ownership as well as the children seeing what it means to ""live their Catholic Faith.""","I think the idea of restitutions are ineffective. Unless different chores are associated with the extra time at school. The children think they're a joke and it doesn't seem to dissuade bad behavior. I think if children make a mess in the bathroom, they should spend extra time after school cleaning up bathrooms. I'm sure the janitorial staff would also appreciate an apology note handed to them in person as the child helps clean after school.
If they are disruptive in the halls during school maybe they should do research as to why this would be a distraction to others (ie. paper on what it takes to stay focused). I believe the punishment should better reflect the crime if we are to change behavior. ","I believe St. Joe does a good job of offering fun activities. What also might be fun to encourage others to try something new and at the same time encourage support of ones classmates is to offer a shared extra curricular calendar that would reflect not only ICCL sports going on that weekend but that parents could add an activity that their child is competing in (say swimming, gymnastics, hockey, fencing, etc.) that others may not know about and would like to cheer on their fellow Eagle.  ","St. Joe offers many ways to be involved however, we don't always have enough volunteers for regularly scheduled activities and needs. I would recommend going to a required 20 hours donated per family. 1) 10 hours to the school in various ways - volunteering in classrooms, recess duty, hot lunch, coaching sports. 2) 10 hours solely to fundraising activities - auction, trivia night, burger king books, SCRIP, etc.
For those that can't volunteer hours: Have a sliding scale, based upon volunteered income bracket and charge what $20hrs. of their time would be...ex. $200-400
I think this will create a more balanced volunteering so the burden is not on just a few families (that eventually burn out and never volunteer again) and it will give other families to try something different, feel more a part of the St. Joe community and show their kids what it means to give back to a school that does so much for them.",,,,,,,,"The feeling of family at the school, The academics, The teachers",I think a few of the teachers could be replaced. Some don't seem to correct behavior that has been going on for years (always late to everything...including lunch that the kids only have have 10 min to eat as it is). A few don't seem to have patience for kids that struggle and only cater to the over achievers. I would like to see lesson plans in Jr. High especially be updated and better communicated with the students. ,"I think the Spanish program could be moved to an online course and have the teacher just moderate. This would allow the students to move at their own pace and they would be better prepared. They could even pick a different language other than Spanish. I think this could have a HUGE impact in the long run when the kids enter High School, especially if they start with something like Rosetta Stone in Kindergarten.
I would like to see the Jr. High be given more responsibility and more opportunities to serve and be leaders. For example: Allow them to do morning and afternoon announcements, have the 8th graders create a one page News sheet that can be emailed or printed (solely for the students by the students..Eagle News or student gazette), let the 8th grade create a playlist (that is ok'd by faculty) to be played during lunch or outside during recess, they can create ""crazy sock"" days that are like dress down days but they go to a local charity (St. Margaret's house, Women's Care Center, La Casa, etc.). What about a monthly decorate your homeroom door - this would cater to the kiddos that aren't as ""sports oriented"" and can show their creativity for all to see.

The 7th and 8th grade need to be given the opportunity for dances. It seems childish but in the ""screen driven"" world they live in they don't have the social skills.
Instead of one gym class a month invite different people that can teach them manners, one or two formal dances...bring in Catholic Motivational speakers...anything to create a dynamic and different opportunity to look forward to and not just the same old stuff every week...every month. School can be fun if we think outside the box and start reinventing what it means to be cool. We need to build camaraderie not just in jr. high but throughout the school in every classroom."
,,,,,,,,,,,,,,,,,,,I really appreciate all we can do through FACTS.,"Strong parish/school community, interaction of children in upper grades with those in the lower grades, academic excellence",,"Please reconsider the current hot lunch options.  My children report that they are actually served rather cold.  Additionally, I question the nutritional value of pancakes and French toast for lunch.  I hear from my children and others that very few of the lunches actually taste good.  I would rather go back to the old options than continue with what they have received this year.  "
"Would love to see more classical curriculum: especially in literature, music, and art",,"A lot of the library books have content that just feels goofy. I think we needn't be afraid to offer our children more sophisticated choices, books that teach character, adventure and virtue at appropriate reading levels. I'm always so sad to see books come home with potty humor, bratty protagonists, etc. Since we want to offer children choice, let's make the choices solid!  Our library could really be improved, and it doesn't have to be stuffy. Most of what Scholastic offers is not up to the standard of an excellent Catholic school!  Look elsewhere. ",,,,,,So happy to have weekly Mass and regular adoration/rosary. Would love to see more religious art in the art curriculum and some hymnody or easy chant in music class. Kids can do it!  And they might love it! ,"I think behavior standards are great. I think we could nourish kids' Christian imagination with better literature, art and music. ",,"Love choir/music opportunities, chess, Legos, sports, even tho we can't participate in all of them. Adds a richness to education. ",,,,,,,,,"Dedicated teachers/staff, community, Catholic identity","Boost curriculum with some classical Christian/Catholic literature, art, music.  Improve library with more sophisticated choices.  Music class sounds like a lot of movie watching (but my student's report might not be accurate)",
,,"Although I heard that there were not enough books for the 4th graders last year (social studies books maybe?) and they had to take turns taking the book home. This proved to be a challenge for some kids the night before the tests because it wasn't ""their day"" to bring the book home and couldn't adequately study. ",,This year I have been appreciative of my daughters teacher keeping an eye on her proactively and we are giving her some additional support. ,"Some of data coming home isn't very clear to me. Not sure how to interpret it. Both my husband and I work with data and we still are a bit confused on what it means and if there are action items we should have from them. Also, I was very surprised on my kids report cards that Mrs Howard was the ONLY teacher who wrote a personal comment on each report card. None of my kids main teachers wrote anything. If the process of filling out report card data and ratings is so labor intensive that they don't have time to write seems like a miss allocation of time. ",,,,"Would like to see more infusion of a shool identity instilled in the kids. Make them understand the ""St Joe Way"". Each time they step foot on a playing field or places around town people should see them know they are a ""St Joe student"". Mr Azar has done a nice job of getting the school logo in place, now let's really instill what it means to wear it. ","Would be good to understand how discipline policies change as the kids move into upper grades. Right now the Stop & Reflect process seems effective. Are there uniform violations ever? I know some days my son has to wear a polo with a logo on it if all others are dirty and no one has ever said anything to him. He's only in kindergarten, but I don't want him getting used to breaking the rules :)","I have been impressed with the offerings we have for a catholic school. As younger students we have loved taking advantage of choir, strings, chess, scouts and Lego league. ",,,,,,,,,Community of families and resources available to this network; commitment to Catholic education; ,"Don't be afraid to demand more from our kids (and parents) regarding excellence in character.

We have an excellent opportunity to educate our kids - let's leverage opportunities like technology (I love that we are looking to get our middle and Jr high kids coding and accessing great tools for learning) but also not loose sight of the fundamentals (i.e. do kindergarteners really need computer class or screen time at all?) ","Hot lunch isn't a big deal to my family. We're fine bringing our brown bags every day. 

Is there a way to be a bit more attentive to kids with allergies? For example, when hot lunch menus are sent home can allergens be included if possible? And maybe for bake sales have a parent of a kids with allergies make some ""allergy approved"" items. 

What is the schedule to turn the old music room back into a stage in Fanelli. Would be nice to be able to have a stage for class music programs and nativity scenes and even the school talent show. 

Why doesn't St Joe do any sort of Christmas pageant? I know they are a fair amount of work, but they are such a great way to build community at a school for both kids and parents and as a faith community.

We love St Joe and are so happy to be part of this great community!! Thank you to all the dedicated people who make it such a great place. "
,,,,,,,,,,,,,,,,,,,,"Sense of community, academic reputation, and K-2 teachers","We are blessed that our children are hard working and understand that they will learn through practice and work.  They therefore are often at higher levels of proficiency compared to those in their class.  I'm not sure that St. Joe has a clear way to provide more challenging work to those students that can handle it.  Parents I have spoken with that have older children have confirmed with me this same opinion.  How will St. Joe get creative in offering opportunities to those students that are ready for more challenging work?  for instance, would a once per week 1/2 day of taking students out of class to do work that the other students aren't doing be considered?",
,,,,,,,,,,,,,,,,,,,,,,
,"Two of our children are more naturally disposed to academics. One is not. The one who is not has not necessarily always received the support he needs. It has varied by teach and grade. For instance this year, one of his teachers is helpful and tries to work with him. The other has suggested to us that he is alternately ""depressed"" (nope, happy child at home) or ""trying to get at her"" (it's not about YOU, lady).  This has been a bit more challenging.",,,I would put this between a 3 and 4 as my children get older and older.,,,This is hit or miss. Teachers who take them seriously as an opportunity to communicate information absolutely help us enormously. Teachers who work off the assumption that we as parents have been through this before and who make the back to school night a social session are not in the least bit helpful and succeed in helping us feel alienated if we do not already know them or know what x grade is like.,,"Ok, I am marking this low to get your attention. In regards to character development, I would give SJGS a 4 or 5. In regards to the way this is related to our faith I am much more skeptical. Specifically in the way that students behave at school mass. IT IS DISGRACEFUL. And please understand I am not an ultra-orthodox, liturgical nazi. What I mean is that it is NOT character development to have students simply able to sit still and be silent. To the contrary their utter lack of respect for the space as evidenced by the absence of genuflecting or appropriately reverencing the altar as they enter and exit a pew is ridiculous. Further, the SILENCE in that church during SONGS is embarrassing. But it is not embarrassing about the students, it is an embarrassment to the faculty, staff and even pastoral staff because clearly none of the adults who are charged with ""forming"" our students have made a point of calling the students on their silence. It takes SO little and they would step into line. If we at SJGS name mass as SO essential to our identity that we have it every week, it is equally essential that it is a reflection of what is best in our identity. Raising silent, non-participatory, non-invested sheep is not what we are called to as Catholic educators nor as Catholic parents.  This is my biggest disappointment in our school.  Thank you for reading this and please excuse anything that comes across as vitriol. I intended it productively, but feel passionately.",,,,,With the caveat that I always tell the about how poor the school masses are (see above comments),,,,Registration is great and easy. I simply do not seem to know about it in a timely manner. ,LOVE the use of FACTs for the fees.,Staff and faculty; connection to Holy Cross; academics.,MASS; culture around sports,Thank you for asking.  We are grateful for the school
,,,,,,,,We are not Catholic.,,,,,,,,,,,,"Small, caring community",,
"5 th grade has been working on only one book that they've all year in language arts, seems way too long. ","My experience in 4th grade has been a lot of memorizing, not a lot of change in curriculum for diff learning styles. ",Gym is a huge plus! ,,,,,,,"I think there is always room to improve, esp as we see so much hurt in our world. I would like to continue to offer ways to create peace in our school and community. I love the service projects for each grade level!",,,,,,,,,,,"The staff, the service, academics , ","Changing curriculum to adapt to diff learning styles, hands on learning, outlets for physical movement during bad weather",Thanks for making our school better and better
,,,,,,,,,I would like to see something like Inner Challenge brought back into the curriculum. ,,,,,,,,,,,"academic preparedness for high school and beyond, character development",discipline,
Continuing to find ways to differentiate to challenge all students at their level is of critical importance. Enhanced use of instructional technology (i.e. blended learning software programs) can be of some assistance here.,"While overall, I think SJGS is doing very well in this area, one area that can be improved is equipping parents with the knowledge of how to support their children's learning. While there is a wealth of data that comes home to parents regarding MAP testing (which is a great tool) and through other means, more can be done to equip parents about how they can be partners in advancing the learning goals and opportunities of their children. What is one thing you can do at home with your child in reading and math, etc.? MAP and programs like Khan Academy have some resources that could be helpful with this. ","Again, I think this is already very strong, but some progress is likely possible in the areas of technology. Chromebooks have more utility here than ipads.",Great and committed teachers and staff! ,,"Again, as noted, the information is helpful to understand my child's progress, but not what to do to help advance that progress, which would ultimately be even more helpful.","Again, I think there is room to improve in encouraging parents to be partners in education and encouraging targeted parental activity to support student learning.",,,,,,,,,,,,,,"1) A robust Catholic culture, 2) a caring community, 3) strong academics (teachers, curriculum, and support structures) ","1) Increased focus on student agency and ownership of learning process and differentiation of teaching and learning, 2) parent partnership with respect to academic engagement for student progress, and 3) increased use of instructional technology and opportunities for coding, STEM, etc.  ","A minor point, but I have concern about the skin-tight beige girls uniform pants. They are rather immodest and inappropriate, and I fear, as a parent of young daughters, that the social pressure to dress in this manner will be considerable as my daughters get older. I would recommend that the policy around this aspect of the uniform be reviewed and hopefully changed."
,I wish there were opportunities for tutoring after school for various subjects.  I would be willing to pay for this service.  ,,,,,,,,,,,,,,,,,,,,,
2nd grade seems too challenging in relation to 1st & 3rd,,,,,,,,,,,,I thought parents in the classroom for K centers was a nice way to see what was going on in the classroom and my children were always excited for us to come and help. We miss K centers with parent helpers.,,,,,,,,"Community feeling, catholic focus, caring teachers & support team","I often wish st joe were more focused on instilling a love for learning. I feel the academic expectations are high, maybe higher than necessary-Especially in the younger grades K-2.  

I think recess is entirely too structured. I have volunteered to help watch, kids should choose their own teams and should be allowed to mix grades. I have enough faith that the 5th grade boys aren't going to hurt the 3rd graders playing two hand touch, heck some of the 3rd graders are as big as some of the 5th graders. I think they should have less rules but with more severe consequences. There is a lot about life that can be learned in free playtime that can not be taught in the classroom. This is a safe environment where these things should be learned even if the result may occasionally be a scrape or hurt feelings. Children need to learn to figure things out on there own a little at a time. ","I answered the 1-8 in reference to why we chose/choose St Joe,  hopefully that was correct. Because you accept vouchers I put cost as the lowest factor. We could not attend st joe if it were not for the vouchers so thank you!"
"Music and ""world language""  program needs a strong re-evaluation.  Purpose and curriculum of Music program seems to be unclear...weak?",,,,,,,,,,,,,,,,,,,,"Catholic identity and formation, quality teacher experience K-3, quality educational value overall.","purposefulness/ quality/ rigor of music program, culture of 6-8, efficacy of discipline",We continue to be proud of St Joseph faculty and staff and the quality of their efforts overall.  We appreciate all too the tireless efforts of the school to educate their students.  
,,,,,,,,,,,,,,,,,,,,"Academics, Religious Formation, Community",I think younger kids (esp K-3) should have more recess time. It's good for them!,
,,,,,,,,,,,,,,,,,,,,"academics, resources, community",none,none
,,,,,It seems like the charts and systems are changing year to year so that you have to read a page full of information before you can understand the report.,,"Mrs. Schroeder's ""open session"" where parents could ask questions if they had them was great. Other sessions when you sit through a speech are usually unhelpful and tedious.",,,"""Stop and reflects"" don't always seem to be used in the same way across the board.",,,,,"Many of the club schedules are out of date. I wish the hot lunch schedule was on there--not when the order is due, but which lunch is on which day. I wish the Girl Scout schedule was on there.",,,,,Catholic identity; parish support; Holy Cross connection/tradition,"Teacher grammar in communication (emails and newsletters), clarity in grading reports, library materials (some books brought home are either not age appropriate or seem questionable material)",I love that the children pray together as a school community in the gym in the morning.
,,,,,,,,,,,,,,,,,,,,,,
"While I recognize children in every class will have different needs and progress at different levels, I am hopeful that high performing children are appropriately challenged and that we don't regress to the mean at St Joe.  I'm not suggesting or believing that is necessarily happening...just something that often can happen at many schools.  While I don't believe or expect my children will ever be nearly genius type level, I want them to be continually challenged if they are performing well.",,,,,,,,,,,,,,,,,,,The use of FACTS is a very efficient and easy to use tool.,"1. Catholic faith - I hope this is never compromised by any internal or external influences.  2. Academic success and achievement
3.Caring community/environment",I think the athletic programs could be better managed/organized.  I don't have a good understanding at times of how coaches are chosen and how the collaboration with other schools and the ICCL is carried out.  ,Our family has enjoyed the experience at St Joseph since we joined the parish 5 years ago.
"Not sure it is as much about the challenge level as the quality of the curriculum and in some cases teaching (e.g. lots and lots of worksheets, less effective on-line learning strategies).",,,,,tough when you have team teachers,,,,,,,,,,,,,,,"Sense of community/history, Catholic mission, commitment of staff","1. There are some incredibly dedicated and talented teachers that we are so blessed to have at SJGS.  We also have some under-performing teachers...not sure measures are in place or a cultural will to address poor teaching performance.  2.  It is a heavily teacher led learning environment...any willingness to create a shared responsibility for learning especially in the upper grades.  3.  Not sure how the curriculum in each grade is established, reviewed, etc.",
,,,,,,"It's great to hear in the Fall how my children are doing, but there is no follow up with staff in the Spring. It would be great to have a Spring conference as well.",,,,I disagree with the removal of recess as a punishment. It actually causes more problems.,,I miss engaging in the kindergarten classroom.,,,"On the website, you can read the staff emails but you cannot read the job titles (color doesn't show up).",,Love the email newsletter!,,,"Easy access/support from staff, strong Catholic teaching for education, involvement of parents","offer a Spring parent/teacher conference, change the lunch program (Allie's Caf̩ has not been a healthy or tasty change)",
