"Company","Sector","Resolution Summary","Issues","Filer","Status","Year","Memo"
"Marathon Petroleum Corporation","Oil and Gas","Quantitative goals for reducing GHG emissions","Greenhouse Gas Emissions","Mercy Investment Services, Inc.","Vote: 12.7%",2015,"NOT"
"Kraft Foods Inc.","Food and Beverage","Sustainability report including GHG goals","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Province of St. Joseph, Capuchin Order","Vote: 30.2%",2015,"NOT"
"DTE Energy Co.","Electric Power","DTE Distributed Generation of Renewables","Greenhouse Gas Emissions; 
                    
                    
                        Renewables","New York State Comptroller","Vote: 27.5%",2015,"PDF"
"Kraft Foods Inc.","Food and Beverage","Assess supply chain impacts on deforestation","Forests; 
                    
                    
                        Human Rights","Domini Impact Investments LLC","Vote: 30.3%",2015,"PDF"
"Google Inc.","Technology","Lobbying spending disclosure","Political Spending","Walden Asset Management","Vote: 12.2%",2015,"NOT"
"T. Rowe Price Group, Inc.","Financial Services","T. Rowe Proxy Voting Review","Climate Change; 
                    
                    
                        Proxy Voting Policies","Zevin Asset Management","Withdrawn",2015,"NOT"
"DuPont","Chemicals","Sustainable forestry report","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Human Rights; 
                    
                    
                        Palm Oil","Clean Yield Asset Management","No Vote For Technical Reasons",2015,"NOT"
"Kraft Foods Inc.","Food and Beverage","Report on recyclable packaging options","Solid Waste; 
                    
                    
                        Water Pollution","As You Sow","Vote: 29.1%",2015,"NOT"
"Marathon Oil Corporation","Oil and Gas","Carbon Asset Capex Risk Disclosure","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Carbon Asset Risk","Unitarian Universalist Association of Congregations","Vote: 36.3%",2015,"PDF"
"RPC, Inc.","Oil and Gas","ISS Sustainability Report with GHG Goals","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Vote: 6.7%",2015,"NOT"
"Chubb Corporation","Insurance","Issue an Annual Sustainability Report","Sustainability Reporting","First Affirmative Financial Network, LLC","Vote: 28%",2015,"PDF"
"Entergy Corporation","Electric Power","Executive incentives for GHG reduction","Greenhouse Gas Emissions; 
                    
                    
                        Link Executive Compensation To ESG","As You Sow","Vote: 6.6%",2015,"PDF"
"Cleco Corporation","Utilities","Quantitative goals for reducing GHG emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Calvert Research & Management","No Vote For Technical Reasons",2015,"NOT"
"Ameren Corporation","Electric Power","Executive incentives for GHG reduction","Greenhouse Gas Emissions; 
                    
                    
                        Link Executive Compensation To ESG","As You Sow","Vote: 8%",2015,"PDF"
"JB Hunt Transport Services Inc.","Transportation","Quantitative goals for reducing GHG emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Calvert Research & Management","Vote: 16.8%",2015,"NOT"
"Phillips 66","Oil and Gas","Quantitative goals for reducing GHG emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Presbyterian Church (USA)","Vote: 28%",2015,"NOT"
"Sensient Technologies","Chemicals","Quantitative goals for reducing GHG emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Calvert Research & Management","Withdrawn; Company will address",2015,"NOT"
"AGL Resources Inc.","Oil and Gas","Quantitative goals for reducing GHG emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Calvert Research & Management","Vote: 24.7%",2015,"NOT"
"Phillips 66","Oil and Gas","Report on mitigating physical risks from climate change","Climate Change","Calvert Research & Management","Withdrawn; Ongoing dialogue",2015,"NOT"
"Berkshire Hathaway Inc.","Diversified Investments","Quantitative goals for reducing GHG emissions","Climate Change; 
                    
                    
                        Energy Efficiency (utilities); 
                    
                    
                        Greenhouse Gas Emissions","Investor Voice, SPC","Withdrawn",2015,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Increase Return of Captial to Shareholder to Reduce Risk of Stranded Assets","Climate Change; 
                    
                    
                        Carbon Asset Risk","Arjuna Capital","Omitted",2015,"NOT"
"Newfield Exploration Co.","Oil and Gas","Report on capital expenditures on projets at risk of stranding","Climate Change; 
                    
                    
                        Carbon Asset Risk","Unitarian Universalist Association of Congregations","Withdrawn; Ongoing dialogue",2015,"NOT"
"Archer Daniels Midland Company","Agriculture","Adopt goals to reduce deforestation","Climate Change; 
                    
                    
                        Forests","New York State Comptroller","Withdrawn; Company will address",2015,"NOT"
"MGE Energy Inc.","","Link Exec Comp to ESG","Link Executive Compensation To ESG","Phillip D. Davenport","Withdrawn; Company will address",2015,"NOT"
"Avon Products Inc.","Consumer Goods","Palm Oil Implementation Report","Palm Oil","Domini Impact Investments LLC","Withdrawn; Company will address",2015,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Quantitative goals for reducing GHG emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Tri-State Coalition for Responsible Investment","Vote: 9.6%",2015,"PDF"
"MGE Energy Inc.","Electric Power","Issue Report on Providing Customers with 25% Renewables by 2025","Climate Change; 
                    
                    
                        Renewables","Don Wichert","Withdrawn; Company will address",2015,"NOT"
"HD Supply Holdings, Inc","Retail","Quantitative goals for reducing GHG emissions","Greenhouse Gas Emissions","Calvert Research & Management","Vote: 25.8%",2015,"NOT"
"International Flavors & Fragrances Inc.","Chemicals","Palm Oil Policy Implementation Report","Climate Change; 
                    
                    
                        Palm Oil","Calvert Research & Management","Withdrawn; Company will address",2015,"NOT"
"HollyFrontier Corporation","Oil and Gas","Sustainability report including GHG goals","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Mercy Investment Services, Inc.","Vote: 31.2%",2015,"NOT"
"Valero Energy Corporation","Oil and Gas","Quantitative goals for reducing GHG emissions","Greenhouse Gas Emissions","Mercy Investment Services, Inc.","Vote: 39.6%",2015,"NOT"
"3M Co.","Manufacturing","Set Targets for Renewable Energy Sourcing / Production","Climate Change; 
                    
                    
                        Renewables","Trillium Asset Management","Withdrawn; Company will address",2015,"NOT"
"Yum! Brands, Inc.","Food and Beverage","Palm OIl Policy Implementation Report","Palm Oil","Trillium Asset Management","Withdrawn; Company will address",2015,"NOT"
"Energen Corp.","Oil and Gas","Set targets for methane emissions reductions","Greenhouse Gas Emissions; 
                    
                    
                        Methane Emissions","Miller/Howard Investments, Inc.","Vote: 29.4%",2015,"PDF"
"Occidental Petroleum Corporation","Oil and Gas","Set targets to reduce methane emissions and flaring","Greenhouse Gas Emissions; 
                    
                    
                        Methane Emissions","Arjuna Capital","Vote: 33%",2015,"PDF"
"FirstEnergy Corp.","Electric Power","Quantitative goals for reducing GHG emissions","Greenhouse Gas Emissions","Calvert Research & Management","Vote: 19.4%",2015,"NOT"
"Dominion Resources, Inc.","Electric Power","Methane Emissions Reduction Targets","Greenhouse Gas Emissions; 
                    
                    
                        Methane Emissions","Robert Van der Hye","Vote: 25%",2015,"PDF"
"Exxon Mobil Corporation","Oil and Gas","Executive compensation linked to ESG","Climate Change; 
                    
                    
                        Link Executive Compensation To ESG","The Needmor Fund","Withdrawn; Ongoing dialogue",2015,"NOT"
"Dominion Resources, Inc.","Electric Power","Report on mitigating physical risks from climate change","Climate Change; 
                    
                    
                        Governance","Dr. Pamela Morgan","Vote: 23.6%",2015,"PDF"
"Dominion Resources, Inc.","Electric Power","Quantitative goals for reducing GHG emissions","Greenhouse Gas Emissions","Mercy Investment Services, Inc.","Vote: 5.8%",2015,"PDF"
"Dominion Resources, Inc.","Electric Power","Report on bioenergy risks","Air Pollution; 
                    
                    
                        Climate Change; 
                    
                    
                        Forests","Marion Edey","Vote: 22%",2015,"PDF"
"Dominion Resources, Inc.","Electric Power","Add independent board member with environmental expertise","Climate Change; 
                    
                    
                        Governance","Joy Loving","Omitted",2015,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Add independent board member with environmental expertise","Climate Change; 
                    
                    
                        Governance","Province of St. Joseph, Capuchin Order","Vote: 21%",2015,"NOT"
"Dominion Resources, Inc.","Electric Power","Coal ash report","Coal Ash","Ruth Amundsen","Omitted",2015,"NOT"
"Dominion Resources, Inc.","Electric Power","Lobbying spending disclosure","Climate Change; 
                    
                    
                        Political Spending","Bill Fleming","Omitted",2015,"NOT"
"Energen Corp.","Oil and Gas","Report on goals and plans to address carbon asset risk","Carbon Asset Risk","Connecticut Retirement Plans and Trust Funds","Vote: 25.7%",2015,"PDF"
"Dominion Resources, Inc.","Electric Power","Executive compensation linked to GHG reductions","Climate Change; 
                    
                    
                        Governance; 
                    
                    
                        Link Executive Compensation To ESG","Bernice Schoenbaum","Vote: 4.9%",2015,"PDF"
"Kinder Morgan Inc.","Oil and Gas","Report on goals and plans to address carbon asset risk","Carbon Asset Risk","First Affirmative Financial Network, LLC","Vote: 22.3%",2015,"PDF"
"Home Depot, Inc.","Consumer Goods","Quantitative goals for increasing renewable energy sourcing","Climate Change; 
                    
                    
                        Renewables","Trillium Asset Management","Withdrawn; Company will address",2015,"NOT"
"Umpqua Holding Corporation","Banking","report on financed emissions risks","Climate Change; 
                    
                    
                        Carbon Asset Risk","Trillium Asset Management","Withdrawn; Ongoing dialogue",2015,"NOT"
"Bank of America Corporation","Banking","Report on climate risk in lending portfolios","Climate Change; 
                    
                    
                        Carbon Asset Risk","Sisters of the Holy Names of Jesus and Mary","Vote: 8.8%",2015,"PDF"
"EOG Resources, Inc.","Oil and Gas","Issue report on methane emissions and reduction plans","Greenhouse Gas Emissions; 
                    
                    
                        Methane Emissions","Trillium Asset Management","Vote: 31.6%",2015,"PDF"
"Hess Corporation","Oil and Gas","Report on goals and plans to address carbon asset risk","Carbon Asset Risk","Connecticut Office of the State Treasurer","Vote: 23.4%",2015,"NOT"
"Dillard's Inc.","Consumer Goods","Quantitative goals for reducing GHG emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Calvert Research & Management","Vote: 21.4%",2015,"NOT"
"Targa Resources","Oil and Gas","Methane emissions reduction targets","Climate Change; 
                    
                    
                        Methane Emissions","Arjuna Capital","Filed",2015,"PDF"
"Hess Corporation","Oil and Gas","Report on plans for methane emissions reduction goals","Greenhouse Gas Emissions; 
                    
                    
                        Methane Emissions","Arjuna Capital","Withdrawn; Company will address",2015,"NOT"
"Southwestern Energy Co.","Oil and Gas","Methane emissions reduction targets","Climate Change; 
                    
                    
                        Methane Emissions","Arjuna Capital","Withdrawn; Company will address",2015,"NOT"
"CONSOL Energy Inc.","Oil and Gas","Report on goals and plans to address carbon asset risk","Carbon Asset Risk","As You Sow","Vote: 11.2%",2015,"NOT"
"Anadarko Petroleum Corporation","Oil and Gas","Report on goals and plans to address carbon asset risk","Carbon Asset Risk","As You Sow","Vote: 29.1%",2015,"NOT"
"Chevron Corporation","Oil and Gas","Quantitative goals for reducing GHG emissions","Climate Change","Tri-State Coalition for Responsible Investment","Vote: 8.2%",2015,"PDF"
"Amazon.com Inc.","Retail","Issue a sustainability report including GHG emissions reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Calvert Research & Management","Vote: 26.2%",2015,"NOT"
"ConocoPhillips","Oil and Gas","Delink executive compensation from reserves","Link Executive Compensation To ESG; 
                    
                    
                        Carbon Asset Risk","Unitarian Universalist Association of Congregations","Vote: 5.8%",2015,"NOT"
"Chevron Corporation","Oil and Gas","Report on public policy advocacy on energy and climate change","","The Christopher Reynolds Foundation","Withdrawn",2015,"NOT"
"Chevron Corporation","Oil and Gas","Hydraulic fracturing impacts","Community Impacts; 
                    
                    
                        Hydraulic Fracturing","Sisters of St. Francis of Philadelphia","Vote: 26.8%",2015,"NOT"
"Ultra Petroleum Corp.","Oil and Gas","Issue an annual sustainability report","Sustainability Reporting","Presbyterian Church (USA)","Vote: 21.6%",2015,"NOT"
"Chevron Corporation","Oil and Gas","Executive compensation linked to ESG","Climate Change; 
                    
                    
                        Link Executive Compensation To ESG","The Needmor Fund","Withdrawn",2015,"NOT"
"Noble Energy, Inc.","Oil and Gas","Report on mitigation of carbon asset risk","Climate Change; 
                    
                    
                        Carbon Asset Risk","Presbyterian Church (USA)","Vote: 20.3%",2015,"PDF"
"Continental Resources Inc.","Oil and Gas","Issue a sustainability report including GHG goals","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","New York State Comptroller","Withdrawn; Company will address",2015,"NOT"
"Genworth Financial Inc.","Insurance","Issue an annual sustainability report","Climate Change; 
                    
                    
                        Sustainability Reporting","Friends Fiduciary Corporation","Vote: 40%",2015,"NOT"
"Dean Foods Company","Food and Beverage","Report on water risk mitigation in supply chain","Water Scarcity","Calvert Research & Management","Withdrawn; Ongoing dialogue",2015,"NOT"
"Chevron Corporation","Oil and Gas","Return capital to shareholders to address carbon asset risk","Climate Change; 
                    
                    
                        Carbon Asset Risk","As You Sow","Vote: 3.2%",2015,"NOT"
"Chipotle Mexican Grill, Inc.","Food and Beverage","Issue an annual sustainability report","Sustainability Reporting","Domini Impact Investments LLC","Vote: 30.9%",2015,"NOT"
"The Wendy's Company","Food and Beverage","Adopt and implement a comprehensive sustainable ag policy","Climate Change; 
                    
                    
                        Supply Chain","Calvert Research & Management","Withdrawn; Company will address",2015,"NOT"
"Kinder Morgan Inc.","Oil and Gas","Methane emissions reduction report","Climate Change; 
                    
                    
                        Methane Emissions","Miller/Howard Investments, Inc.","Vote: 22.8%",2015,"PDF"
"Great Plains Energy Incorporated","Electric Power","Adopt quantitative, time bound GHG reduction goals","Greenhouse Gas Emissions","As You Sow","Vote: 33.6%",2015,"PDF"
"Southern Company","Electric Power","Quantitative goals for reducing GHG emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Sisters of Charity of Saint Elizabeth","Vote: 22.1%",2015,"PDF"
"Royal Dutch Shell PLC","Oil and Gas","Report annually on carbon asset risk mitigation","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Carbon Asset Risk","The 'Aiming for A' Coalition","Vote: 98.9%",2015,"NOT"
"Nabors Industries Ltd.","Oil and Gas","Prepare a sustainability report","Greenhouse Gas Emissions; 
                    
                    
                        Link Executive Compensation To ESG; 
                    
                    
                        Sustainability Reporting","Appleseed Fund","Vote: 51.5%",2015,"PDF"
"Wal-Mart Stores Inc.","Retail","Set goals to reduce GHGs for maritime shipping","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Supply Chain","Mary Pat Tifft","Vote: 1.8%",2015,"PDF"
"Denbury Resources Inc.","Oil and Gas","Issue a sustainability report including GHG and other ESG goals","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Laborers' International Union of North America","Withdrawn; Company will address",2015,"NOT"
"Chevron Corporation","Oil and Gas","Add board member with environmetal expertise","Governance","New York State Comptroller","Vote: 19.9%",2015,"NOT"
"Chesapeake Energy Corporation","Oil and Gas","Report on carbon asset risks","Carbon Asset Risk","Unitarian Universalist Association of Congregations","Vote: 11.5%",2015,"NOT"
"Devon Energy Corporation","Oil and Gas","Report on Carbon Asset Risks","Climate Change; 
                    
                    
                        Carbon Asset Risk","New York State Comptroller","Vote: 23.2%",2015,"PDF"
"Target Corp.","Retail","Report on metrics for sourcing sustainable palm oil","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Palm Oil","New York State Comptroller","Filed",2015,"NOT"
"Wisconsin Energy Corp.","Electric Power","Report on GHG reduction strategies in line with national goals","Climate Change; 
                    
                    
                        Energy Efficiency (utilities); 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Renewables","New York State Comptroller","Withdrawn; Company will address",2015,"NOT"
"OGE Energy Corp.","Electric Power","Report on GHG reduction strategies in line with national goals","Climate Change; 
                    
                    
                        Energy Efficiency (utilities); 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Renewables","New York State Comptroller","Vote: 24.2%",2015,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 49.4%",2015,"PDF"
"Freeport-McMoRan Copper & Gold Inc.","Mining & Resources","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 64.9%",2015,"NOT"
"Cloud Peak Energy, Inc","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 71.2%",2015,"NOT"
"Range Resources Corporation","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 60.9%",2015,"NOT"
"Westmoreland Coal Company","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 35.8%",2015,"NOT"
"Murphy Oil Corporation","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 53%",2015,"NOT"
"Devon Energy Corporation","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 58.2%",2015,"NOT"
"Marathon Oil Corporation","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 62.7%",2015,"NOT"
"EOG Resources, Inc.","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 50.7%",2015,"NOT"
"American Electric Power Co., Inc.","Electric Power","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 67.2%",2015,"NOT"
"Noble Energy, Inc.","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 42.4%",2015,"NOT"
"Southern Company","Electric Power","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 46.2%",2015,"NOT"
"Cabot Oil & Gas Corporation","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 45.3%",2015,"NOT"
"Occidental Petroleum Corporation","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 62%",2015,"NOT"
"Alpha Natural Resources, Inc.","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 67.1%",2015,"NOT"
"FirstEnergy Corp.","Electric Power","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 71.4%",2015,"NOT"
"Pioneer Natural Resources Co.","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 49.4%",2015,"NOT"
"Chevron Corporation","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 55.3%",2015,"PDF"
"Cimarex Energy Co.","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 56.2%",2015,"NOT"
"Hess Corporation","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 51.1%",2015,"NOT"
"ConocoPhillips","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 54.3%",2015,"NOT"
"CONSOL Energy Inc.","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 47%",2015,"NOT"
"Anadarko Petroleum Corporation","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 59.4%",2015,"NOT"
"Whiting Petroleum Corp.","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Filed",2015,"NOT"
"AES Corporation","Electric Power","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 66.4%",2015,"NOT"
"Apache Corp.","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 92.7%",2015,"NOT"
"Arch Coal Inc.","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 36.3%",2015,"NOT"
"Peabody Energy Corp.","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 48.7%",2015,"NOT"
"EQT Corporation","Oil and Gas","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 66.3%",2015,"NOT"
"Duke Energy Corporation","Electric Power","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 62.7%",2015,"NOT"
"PPL Corporation","Electric Power","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 61.4%",2015,"NOT"
"DTE Energy Co.","Electric Power","Adopt proxy access bylaw","Climate Change; 
                    
                    
                        Governance","New York City Office of the Comptroller","Vote: 61.7%",2015,"NOT"
"WPX Energy, Inc.","Oil and Gas","Report fracking impacts","Air Pollution; 
                    
                    
                        Climate Change; 
                    
                    
                        Community Impacts; 
                    
                    
                        Water Pollution","Green Century Capital Management","Vote: 32.8%",2015,"NOT"
"Alliant Energy","Electric Power","Report on GHG reduction strategies in line with national goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","New York State Comptroller","Withdrawn; Company will address",2015,"NOT"
"BP, plc","Oil and Gas","Report Annually on Carbon Asset Risk Mitigation","Climate Change; 
                    
                    
                        Governance; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Carbon Asset Risk","The 'Aiming for A' Coalition","Vote: 98.3%",2015,"PDF"
"Southwest Gas Corporation","Oil and Gas","Adopt GHG Reduction Goals for Operations and Products","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Methane Emissions","Calvert Research & Management","Withdrawn; Company will address",2015,"NOT"
"H.B. Fuller Company","Chemicals","Adopt Goals For Reducing GHGs from Operations and Products","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Renewables","Calvert Research & Management","Withdrawn; Company will address",2015,"NOT"
"Martin Marietta Materials Inc.","Construction","Report on GHG Reduction Strategies in Line w/ National Goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","New York State Comptroller","Withdrawn; Company will address",2015,"NOT"
"Oracle Corporation","Technology","Set Targets for Renewable Energy Sourcing / Production","Climate Change; 
                    
                    
                        Renewables","Trillium Asset Management","Filed",2015,"NOT"
"J. M. Smucker Company","Food and Beverage","Report on how to increase renewable energy sourcing or production","Climate Change; 
                    
                    
                        Renewables","Trillium Asset Management","Filed",2015,"PDF"
"Oracle Corporation","Technology","Set targets to source or generate renewable energy","Climate Change; 
                    
                    
                        Renewables","Trillium Asset Management","Filed",2015,"PDF"
"Bunge Limited","Agriculture","Time-bound goals for reducing impacts on deforestation","Forests; 
                    
                    
                        Human Rights; 
                    
                    
                        Palm Oil","Green Century Capital Management","Vote: 29.3%",2015,"NOT"
"Lowe's Companies Inc.","Retail","Issues annual verified sustainability report","Sustainability Reporting","David Brook","Withdrawn; Company will address",2015,"NOT"
"Lowe's Companies Inc.","","Issues annual verified sustainability report","","David Brook","",2015,"NOT"
"Home Depot, Inc.","","Issue annual verified sustainability report","Sustainability Reporting","Home Depot, Inc.","Withdrawn; Company will address",2015,"NOT"
"Home Depot, Inc.","Retail","Issue annual verified sustainability report","Sustainability Reporting","David Brook","Withdrawn; Company will address",2015,"NOT"
"McDonald's Corp.","Food and Beverage","Report on Curtailing Deforestation from Palm Oil","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Human Rights","Green Century Capital Management","Vote: 7%",2015,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Report on minimizing impacts of hydraulic fracturing","Community Impacts; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Water Pollution; 
                    
                    
                        Methane Emissions","Park Foundation","Vote: 24.9%",2015,"NOT"
"Kinder Morgan Inc.","Oil and Gas","Prepare an annual sustainability report","Sustainability Reporting","New York State Comptroller","Vote: 30.5%",2015,"NOT"
"Annaly Capital Management, Inc.","Real Estate","Issue Energy Efficiency Report","Energy Efficiency (buildings)","California State Teachers' Retirement System","Withdrawn; Company will address",2015,"NOT"
"Essex Property Trust","Real Estate","Issue Energy Efficiency Report","Energy Efficiency (buildings)","California State Teachers' Retirement System","Filed",2015,"NOT"
"Crown Castle International Corp.","Technology","Issue Energy Efficiency Report","Energy Efficiency (industrial)","California State Teachers' Retirement System","Withdrawn; Company will address",2015,"NOT"
"Federal Realty Investment Trust","Real Estate","Issue Energy Efficiency Report","Energy Efficiency (buildings)","California State Teachers' Retirement System","Withdrawn; Company will address",2015,"NOT"
"Pinnacle West Capital Corporation","Electric Power","Annually disclose direct and indirect lobbying expenditures","Climate Change; 
                    
                    
                        Political Spending","As You Sow","Vote: 30.8%",2015,"NOT"
"Pfizer Inc.","Healthcare, Pharmaceuticals","Review federal, state and local lobbying","Climate Change; 
                    
                    
                        Governance; 
                    
                    
                        Political Spending; 
                    
                    
                        Public Policy","The Christopher Reynolds Foundation","Vote: 5.6%",2015,"NOT"
"Occidental Petroleum Corporation","Oil and Gas","review lobbying at federal, state and local levels","Climate Change; 
                    
                    
                        Governance; 
                    
                    
                        Political Spending; 
                    
                    
                        Public Policy","Walden Asset Management","Vote: 29.4%",2015,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Review Policy Advocacy","Climate Change; 
                    
                    
                        Governance; 
                    
                    
                        Political Spending; 
                    
                    
                        Public Policy","John Chevvenden","Withdrawn",2015,"NOT"
"Time Warner Inc.","Entertainment","Set science-based greenhouse gas reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Green Century Capital Management","Vote: 21.6%",2015,"NOT"
"Chesapeake Energy Corporation","Oil and Gas","Add a board member with environmental expertise","Governance; 
                    
                    
                        Hydraulic Fracturing","Mercy Investment Services, Inc.","Withdrawn; Company will address",2015,"NOT"
"Emerson Electric Co.","Manufacturing","Adopt GHG reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Walden Asset Management","Vote: 36.7%",2016,"NOT"
"Emerson Electric Co.","Manufacturing","Issue a Sustainability Report","Sustainability Reporting","Mercy Investment Services, Inc.","Vote: 47.3%",2016,"PDF"
"Whole Foods Market, Inc.","Food and Beverage","Report on palm oil sourcing policy","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Human Rights; 
                    
                    
                        Palm Oil","Clean Yield Asset Management","Withdrawn; Company will address",2016,"NOT"
"Hologic Inc.","Healthcare, Pharmaceuticals","Set GHG goals for products and operations","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Trillium Asset Management","Withdrawn; Company will address",2016,"NOT"
"Whole Foods Market, Inc.","Food and Beverage","Report on optimally managing food waste","Climate Change; 
                    
                    
                        Methane Emissions; 
                    
                    
                        Food Waste","Trillium Asset Management","Vote: 28.1%",2016,"PDF"
"Tyson Foods Inc.","Agriculture","Adopt and implement a water stewardship policy","Water Pollution","Tri-State Coalition for Responsible Investment","Vote: 11.8%",2016,"PDF"
"ESCO Technologies, Inc.","Manufacturing","Issue a sustainability report including GHG goals","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Vote: 43.5%",2016,"NOT"
"ConocoPhillips","Oil and Gas","Report on lobbying","Climate Change; 
                    
                    
                        Public Policy","The Needmor Fund","Withdrawn; Company will address",2016,"NOT"
